id,catégorie,sous_catégorie,marque,modèle,processeur,carte_graphique,mémoire_ram_go,stockage_go,type_stockage,écran_pouces,prix_cad,note_clients_sur_5,poids_kg,stock_disponible,couleur,système,réseau,ports_usb,année_modèle,description,pays,devise,date_génération
11,Ordinateur de bureau,Haut de gamme,Alienware,m16 873-B49-SE,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,24,2000,SSD SATA,0,1908.78,4.3,12.72,20,argent,Windows 11 Famille,Wi‑Fi 6,8,2024,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
12,Portable de gaming,Milieu de gamme,Razer,Blade 15 325-A19-SE,Intel Core i5-13400F,NVIDIA GeForce RTX 4070,8,256,SSD SATA,15.6,1441.29,4.2,1.91,40,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,4,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
13,Portable de gaming,Milieu de gamme,Acer,Predator Orion 690-D41-SE,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4070,8,256,SSD NVMe,16,1420.91,4.6,2.64,19,noir/rouge,Windows 11 Pro,Wi‑Fi 6,2,2025,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et NVIDIA GeForce RTX 4070; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
14,Ordinateur de bureau,Extrême,MSI,Aegis 919-A41-Pro,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4090,16,2000,SSD NVMe,0,3851.29,4.9,8.47,38,blanc,Windows 11 Famille,Wi‑Fi 7,9,2023,PC de jeu puissant avec processeur AMD Ryzen 7 7800X3D et NVIDIA GeForce RTX 4090; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
15,Ordinateur de bureau,Haut de gamme,Razer,Blade 15 871-B31,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4070,32,256,SSD NVMe,0,1906.08,4.6,7.98,39,gris,Windows 11 Pro,Wi‑Fi 6E,7,2024,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4070, stockage 256 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
16,Ordinateur de bureau,Haut de gamme,Razer,Blade 18 258-B47-Max,Intel Core i5-13400F,AMD Radeon RX 7600,64,4000,SSD NVMe,0,2677.76,3.8,9.06,7,bleu,Windows 11 Famille,Wi‑Fi 6E,8,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
17,Portable de gaming,Haut de gamme,Acer,Predator Helios 182-B18-SE,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,16,2000,SSD NVMe,17.3,2402.6,4.4,2.83,40,bleu,Windows 11 Famille,Wi‑Fi 6,6,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
18,Ordinateur de bureau,Haut de gamme,Razer,Blade 16 309-C40-Pro,Intel Core i7-13700F,AMD Radeon RX 7700 XT,64,1000,SSD NVMe,0,2666.23,4.6,11.58,48,noir,Windows 11 Famille,Wi‑Fi 6E,7,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
19,Ordinateur de bureau,Milieu de gamme,ASUS,ROG Strix 318-E43-SE,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,16,1000,SSD NVMe,0,1395.79,3.1,10.39,37,bleu,Windows 11 Pro,Wi‑Fi 7,11,2025,PC de jeu puissant avec processeur Intel Core i9-13900KF et NVIDIA GeForce RTX 4060; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
20,Ordinateur de bureau,Haut de gamme,Razer,Blade 16 999-B43,Intel Core i5-13400F,AMD Radeon RX 7700 XT,48,512,SSD NVMe,0,2200.09,4.4,10.76,0,argent,Windows 11 Pro,Wi‑Fi 7,7,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i5-13400F, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
21,Portable de gaming,Entrée de gamme,Razer,Blade 16 966-A21-Pro,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,8,1000,SSD SATA,17.3,1257.65,5,2.41,17,noir/rouge,Windows 11 Famille,Wi‑Fi 6E,5,2025,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4060, stockage 1000 Go SSD SATA, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
22,Ordinateur de bureau,Milieu de gamme,Razer,Blade 15 177-B79,Intel Core i9-13900KF,AMD Radeon RX 7600,48,512,SSD NVMe,0,1773.41,4.9,8.07,29,noir,Windows 11 Pro,Wi‑Fi 6E,7,2023,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7600; parfait pour l'esport.,Canada,CAD,2025-10-06
23,Portable de gaming,Haut de gamme,ASUS,ROG Zephyrus 995-D89-SE,Intel Core i7-13700F,AMD Radeon RX 7900 XT,16,512,SSD SATA,15.6,2164.36,4.4,2.29,39,blanc,Windows 11 Pro,Wi‑Fi 7,5,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7900 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
24,Ordinateur de bureau,Extrême,HP,OMEN 491-A70,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4080,24,512,SSD NVMe,0,2832.51,4.2,8.39,3,gris,Windows 11 Pro,Wi‑Fi 6E,7,2023,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 5 7600, 24 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
25,Portable de gaming,Extrême,Dell,Inspiron Gaming 509-E52-SE,Intel Core i5-13400F,NVIDIA GeForce RTX 4080,16,4000,HDD,16,2955.81,4.4,2.62,21,gris,Windows 11 Pro,Wi‑Fi 7,5,2024,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4080, stockage 4000 Go HDD, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
26,Ordinateur de bureau,Haut de gamme,Razer,Blade 15 690-B42-Max,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4060,48,4000,SSD NVMe,0,2598.76,4.2,6.25,12,gris,Windows 11 Famille,Wi‑Fi 6E,7,2023,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 5 7600, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
27,Ordinateur de bureau,Extrême,Dell,Inspiron Gaming 837-C74,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4080,32,1000,SSD NVMe,0,2960.36,5,10.02,27,noir/rouge,Windows 11 Pro,Wi‑Fi 7,9,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
28,Ordinateur de bureau,Extrême,HP,Victus 953-A48-SE,AMD Ryzen 5 7600,AMD Radeon RX 7900 XT,48,4000,SSD NVMe,0,3491.82,3.4,11.27,24,noir/rouge,Windows 11 Pro,Wi‑Fi 6,8,2025,"Système équilibré pour AAA récents; AMD Radeon RX 7900 XT, stockage 4000 Go SSD NVMe, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
29,Portable de gaming,Entrée de gamme,Acer,Predator Orion 390-E94,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,16,1000,SSD NVMe,15.6,1230.35,4.3,2.52,29,argent,Windows 11 Famille,Wi‑Fi 6E,7,2025,PC de jeu puissant avec processeur Intel Core i9-13900KF et NVIDIA GeForce RTX 4060; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
30,Ordinateur de bureau,Haut de gamme,Gigabyte,G5 299-D73-SE,Intel Core i7-13700F,AMD Radeon RX 7700 XT,64,256,SSD SATA,0,2539.2,5,10.4,36,blanc,Windows 11 Famille,Wi‑Fi 6,6,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
31,Ordinateur de bureau,Extrême,Gigabyte,AORUS 355-A68-SE,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,48,4000,SSD NVMe,0,2800.96,5,12.87,3,bleu,Windows 11 Pro,Wi‑Fi 7,6,2025,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 4000 Go SSD NVMe, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
32,Ordinateur de bureau,Extrême,Razer,Blade 16 861-D67-X,Intel Core i7-13700F,AMD Radeon RX 7900 XT,64,1000,SSD SATA,0,3374.49,3.9,12.26,16,gris,Windows 11 Famille,Wi‑Fi 6E,12,2023,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i7-13700F, 64 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
33,Ordinateur de bureau,Extrême,Lenovo,Legion 427-E20-Pro,Intel Core i7-13700F,NVIDIA GeForce RTX 4090,64,512,SSD SATA,0,4498.45,3.6,10.8,26,gris,Windows 11 Pro,Wi‑Fi 7,7,2024,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4090, stockage 512 Go SSD SATA, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
34,Ordinateur de bureau,Extrême,MSI,Vector 498-E99-Max,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4090,32,256,HDD,0,3872.79,3.9,7.31,48,blanc,Windows 11 Pro,Wi‑Fi 7,9,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
35,Ordinateur de bureau,Haut de gamme,Lenovo,Legion 379-D72-X,Intel Core i9-13900KF,AMD Radeon RX 7700 XT,64,2000,SSD SATA,0,2796.31,4.8,8.15,6,bleu,Windows 11 Famille,Wi‑Fi 7,7,2023,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 2000 Go SSD SATA, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
36,Ordinateur de bureau,Extrême,MSI,Katana 238-D33-Max,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4080,16,2000,SSD NVMe,0,2918.48,3.6,11.18,27,gris,Windows 11 Pro,Wi‑Fi 6E,11,2024,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et NVIDIA GeForce RTX 4080; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
37,Portable de gaming,Entrée de gamme,Gigabyte,AORUS 153-C38-SE,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4060,8,512,SSD NVMe,15.6,1103.8,3.8,2.6,5,argent,Windows 11 Famille,Wi‑Fi 6E,5,2025,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et NVIDIA GeForce RTX 4060; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
38,Portable de gaming,Entrée de gamme,Lenovo,Legion 885-C31-Pro,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,8,512,HDD,15.6,1294.2,4.5,2.71,30,bleu,Windows 11 Pro,Wi‑Fi 7,5,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 512 Go HDD, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
39,Portable de gaming,Extrême,Lenovo,Legion Pro 807-B23-SE,Intel Core i9-13900KF,AMD Radeon RX 7900 XT,64,4000,SSD SATA,17.3,3783.29,4.5,2.23,14,bleu,Windows 11 Pro,Wi‑Fi 6E,5,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 64 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
40,Ordinateur de bureau,Haut de gamme,ASUS,ROG Zephyrus 969-D72,Intel Core i9-13900KF,AMD Radeon RX 7700 XT,32,512,SSD NVMe,0,1909.1,3.8,16.1,34,bleu,Windows 11 Pro,Wi‑Fi 7,9,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
41,Portable de gaming,Extrême,Alienware,Aurora R16 374-C41-SE,Intel Core i5-13400F,NVIDIA GeForce RTX 4080,32,512,SSD SATA,17.3,2881.32,5,2.11,12,gris,Windows 11 Pro,Wi‑Fi 6,5,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i5-13400F, 32 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
42,Ordinateur de bureau,Haut de gamme,Acer,Nitro 463-C53-X,AMD Ryzen 7 7800X3D,AMD Radeon RX 7700 XT,24,4000,SSD NVMe,0,2320.51,4.8,13.39,53,argent,Windows 11 Famille,Wi‑Fi 7,9,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 4000 Go SSD NVMe, connectivité Wi‑Fi 7.",Canada,CAD,2025-10-06
43,Portable de gaming,Haut de gamme,Razer,Blade 15 761-D67-Max,Intel Core i5-13400F,NVIDIA GeForce RTX 4080,16,2000,SSD NVMe,16,2796.59,4,2.4,12,blanc,Windows 11 Pro,Wi‑Fi 7,4,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i5-13400F, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
44,Portable de gaming,Haut de gamme,Alienware,Aurora R16 438-C99-SE,Intel Core i9-13900KF,NVIDIA GeForce RTX 4080,16,256,SSD SATA,16,2412.5,4.5,2.47,37,argent,Windows 11 Famille,Wi‑Fi 6,5,2025,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4080, stockage 256 Go SSD SATA, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
45,Ordinateur de bureau,Haut de gamme,HP,Pavilion Gaming 878-E86-SE,Intel Core i5-13400F,AMD Radeon RX 7900 XT,16,1000,SSD NVMe,0,2337.57,4.3,10.54,65,noir/rouge,Windows 11 Famille,Wi‑Fi 7,11,2023,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i5-13400F, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
46,Portable de gaming,Milieu de gamme,MSI,Katana 399-B91-SE,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4060,8,4000,SSD NVMe,16,1586.31,3.9,2.75,32,noir,Windows 11 Famille,Wi‑Fi 6E,3,2024,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et NVIDIA GeForce RTX 4060; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
47,Portable de gaming,Haut de gamme,ASUS,ROG G15 175-E90-Max,Intel Core i7-13700F,NVIDIA GeForce RTX 4070,48,1000,SSD NVMe,15.6,2263.85,4.6,2.41,23,bleu,Windows 11 Pro,Wi‑Fi 7,5,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4070; parfait pour l'esport.,Canada,CAD,2025-10-06
48,Portable de gaming,Milieu de gamme,Razer,Blade 16 553-C85-Max,Intel Core i9-13900KF,AMD Radeon RX 7600,48,256,SSD NVMe,17.3,1647.93,4.2,2.16,37,noir/rouge,Windows 11 Famille,Wi‑Fi 6,3,2024,PC de jeu puissant avec processeur Intel Core i9-13900KF et AMD Radeon RX 7600; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
49,Ordinateur de bureau,Haut de gamme,Acer,Predator Helios 665-A30-X,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,48,2000,SSD NVMe,0,2339.28,4.5,11.14,30,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,6,2023,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7700 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
50,Ordinateur de bureau,Milieu de gamme,HP,Pavilion Gaming 777-B64-SE,Intel Core i7-13700F,AMD Radeon RX 7700 XT,16,1000,SSD SATA,0,1513.27,4.4,7.85,7,gris,Windows 11 Famille,Wi‑Fi 7,8,2025,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
51,Ordinateur de bureau,Haut de gamme,HP,Victus 579-C99,Intel Core i9-13900KF,AMD Radeon RX 7600,48,2000,SSD NVMe,0,2121.76,4.9,11.57,40,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,9,2025,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
52,Portable de gaming,Extrême,MSI,Katana 790-E85-X,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,24,4000,SSD NVMe,15.6,2913.06,4.7,1.95,32,gris,Windows 11 Pro,Wi‑Fi 6,3,2025,"Système équilibré pour AAA récents; AMD Radeon RX 7900 XT, stockage 4000 Go SSD NVMe, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
53,Ordinateur de bureau,Haut de gamme,Gigabyte,AORUS 456-D52-Max,Intel Core i5-13400F,AMD Radeon RX 7900 XT,16,1000,SSD NVMe,0,2408.68,4.7,12.05,42,bleu,Windows 11 Pro,Wi‑Fi 6,12,2024,PC de jeu puissant avec processeur Intel Core i5-13400F et AMD Radeon RX 7900 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
54,Portable de gaming,Haut de gamme,Dell,XPS Gaming 218-D75-Pro,Intel Core i5-13400F,AMD Radeon RX 7700 XT,48,2000,SSD NVMe,15.6,2303.85,4.2,2.88,36,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,5,2023,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7700 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
55,Portable de gaming,Haut de gamme,HP,Pavilion Gaming 394-D99-X,Intel Core i5-13400F,AMD Radeon RX 7700 XT,48,512,SSD SATA,16,2087.94,4.2,2.19,26,noir,Windows 11 Pro,Wi‑Fi 6,4,2023,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 512 Go SSD SATA, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
56,Portable de gaming,Haut de gamme,ASUS,TUF Gaming 833-C75-Max,AMD Ryzen 5 7600,AMD Radeon RX 7900 XT,32,2000,SSD NVMe,17.3,2699.74,4.7,3.43,0,bleu,Windows 11 Famille,Wi‑Fi 7,2,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7900 XT; parfait pour l'esport.,Canada,CAD,2025-10-06
57,Portable de gaming,Haut de gamme,ASUS,ROG Zephyrus 448-E44-Max,Intel Core i9-13900KF,AMD Radeon RX 7700 XT,24,4000,SSD NVMe,17.3,2117.37,4.4,2.31,8,blanc,Windows 11 Famille,Wi‑Fi 7,6,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 24 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
58,Portable de gaming,Haut de gamme,Dell,Inspiron Gaming 486-D51-SE,AMD Ryzen 9 7950X3D,NVIDIA GeForce RTX 4070,48,2000,SSD NVMe,16,2397.02,4,2.21,28,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,5,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4070; parfait pour l'esport.,Canada,CAD,2025-10-06
59,Portable de gaming,Haut de gamme,Gigabyte,AORUS 614-E52-X,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4060,48,2000,SSD NVMe,15.6,2079.45,5,2.52,34,noir,Windows 11 Famille,Wi‑Fi 6E,4,2024,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 5 7600, 48 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
60,Portable de gaming,Extrême,Alienware,Aurora R16 972-C96,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4080,64,2000,SSD SATA,15.6,3746.13,4.1,1.69,37,noir/rouge,Windows 11 Famille,Wi‑Fi 7,5,2024,Portable de gaming doté d'un écran fluide et d'une carte graphique NVIDIA GeForce RTX 4080; parfait pour l'esport.,Canada,CAD,2025-10-06
61,Ordinateur de bureau,Entrée de gamme,ASUS,ROG G15 878-A66,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,8,1000,SSD SATA,0,1203.21,4.7,8.12,37,blanc,Windows 11 Pro,Wi‑Fi 6,8,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
62,Portable de gaming,Haut de gamme,Alienware,Aurora R16 274-B20-X,AMD Ryzen 5 7600,AMD Radeon RX 7600,64,512,SSD NVMe,17.3,2016.2,4.2,2.02,15,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,4,2024,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 5 7600, 64 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
63,Ordinateur de bureau,Milieu de gamme,MSI,Aegis 793-E30-Pro,Intel Core i9-13900KF,AMD Radeon RX 7600,24,2000,SSD NVMe,0,1609.99,3.8,15.8,38,argent,Windows 11 Pro,Wi‑Fi 6E,9,2024,PC de jeu puissant avec processeur Intel Core i9-13900KF et AMD Radeon RX 7600; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
64,Portable de gaming,Haut de gamme,Lenovo,Legion 467-E47-SE,Intel Core i9-13900KF,NVIDIA GeForce RTX 4060,64,2000,SSD NVMe,17.3,2501.84,3.6,3.35,17,bleu,Windows 11 Famille,Wi‑Fi 7,6,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i9-13900KF, 64 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
65,Ordinateur de bureau,Extrême,Lenovo,LOQ 324-B89-Pro,AMD Ryzen 9 7950X3D,AMD Radeon RX 7900 XT,64,512,SSD NVMe,0,3387.27,4.6,14.3,36,gris,Windows 11 Famille,Wi‑Fi 6E,7,2023,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
66,Portable de gaming,Haut de gamme,Dell,Inspiron Gaming 192-C51-X,Intel Core i7-13700F,NVIDIA GeForce RTX 4070,16,4000,SSD SATA,16,2166.64,2.8,2.13,9,argent,Windows 11 Pro,Wi‑Fi 6E,4,2024,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i7-13700F, 16 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
67,Portable de gaming,Haut de gamme,Dell,G15 177-B38-Max,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,32,4000,SSD NVMe,16,2170.33,5,2.4,3,blanc,Windows 11 Famille,Wi‑Fi 6E,3,2025,"Ordinateur conçu pour le streaming et le montage vidéo; AMD Ryzen 9 7950X3D, 32 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
68,Ordinateur de bureau,Extrême,Alienware,Aurora R16 210-B70-Pro,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 4080,48,512,SSD NVMe,0,3306.97,5,9.18,3,noir/rouge,Windows 11 Pro,Wi‑Fi 6E,8,2025,"Système équilibré pour AAA récents; NVIDIA GeForce RTX 4080, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 6E.",Canada,CAD,2025-10-06
69,Ordinateur de bureau,Milieu de gamme,ASUS,TUF Gaming 138-C73,Intel Core i7-13700F,AMD Radeon RX 7600,16,2000,SSD NVMe,0,1498.06,3.9,13.99,31,bleu,Windows 11 Pro,Wi‑Fi 7,8,2025,Portable de gaming doté d'un écran fluide et d'une carte graphique AMD Radeon RX 7600; parfait pour l'esport.,Canada,CAD,2025-10-06
